,attack_count,normal_count,attack_share,normal_share,diff_share
getpid,97581,78492,0.00023121948899007248,0.0015909666691347744,-0.0013597471801447018
capget,3090,40,7.32179646631336e-06,8.107662789251258e-07,6.5110301873882345e-06
capset,3090,37,7.32179646631336e-06,7.499588080057414e-07,6.571837658307619e-06
sendmsg,2812605,179680,0.006664505291305918,0.003641962124931665,0.003022543166374253
mkdirat,2458,31,5.824263985177423e-06,6.283438661669725e-07,5.195920119010451e-06
bind,8277234,123813,0.01961301703949799,0.002509585132313915,0.017103431907184077
socketpair,331554,94288,0.000785621652295165,0.0019111382726823066,-0.0011255166203871416
getrandom,52,1176,1.2321469781498212e-07,2.38365286003987e-05,-2.3713313902583717e-05
getdents64,478228,52257,0.0011331676635896782,0.0010592053359447574,7.396232764492086e-05
rmdir,1347863,202164,0.003193779466172985,0.004097693850315478,-0.000903914384142493
memfd_create,958150,49,0.002270349282912021,9.93188691683279e-07,0.002269356094220338
pwritev,222481,56,0.0005271717150879814,1.135072790495176e-06,0.0005260366422974863
sendfile,40866,35,9.683253540205883e-05,7.094204940594851e-07,9.612311490799934e-05
symlink,755034,4467,0.001789063195193023,9.054232419896343e-05,0.0016985208709940597
unlink,702270,144783,0.0016640381891255287,0.0029346293540404122,-0.0012705911649148836
creat,13097,21134,3.103351725543886e-05,0.0004283683634700902,-0.00039733484621465136
perf_event_open,679785,27,0.0016107596798876464,5.472672382744599e-07,0.001610212412649372
setns,2410,139,5.710527341040517e-06,2.817412819264812e-06,2.8931145217757047e-06
preadv,53489,58,0.00012674290329664573,1.1756111044414323e-06,0.0001255672921922043
lseek,1200,1242748,2.843416103422664e-06,0.025189454290041057,-0.025186610873937636
readv,442254,78518,0.0010479267878359057,0.0015914936672160756,-0.0005435668793801699
getdents,2441978,5,0.005786299641169892,1.0134578486564072e-07,0.0057861982953850265
bpf,6051883,27,0.014340017981858218,5.472672382744599e-07,0.014339470714619943
ioprio_get,8,6,1.8956107356151095e-08,1.2161494183876886e-07,-1.0265883448261777e-07
semop,8,0,1.8956107356151095e-08,0.0,1.8956107356151095e-08
fcntl,882243,682302,0.002090486627776601,0.01382968634107928,-0.01173919971330268
rt_tgsigqueueinfo,58,13,1.3743177833209544e-07,2.634990406506659e-07,-1.2606726231857045e-07
ptrace,786995,91,0.0018647952135942662,1.8444932845546612e-06,0.0018629507203097116
io_setup,150497,8,0.0003566046610973339,1.6215325578502517e-07,0.00035644250784154887
userfaultfd,26,1,6.160734890749106e-08,2.0269156973128146e-08,4.133819193436291e-08
io_submit,150524,9,0.0003566686379596609,1.824224127581533e-07,0.00035648621554690274
fsetxattr,697,2121,1.651550853404664e-06,4.29908819400048e-05,-4.133933108660013e-05
io_uring_setup,9249,2,2.1915629617130184e-05,4.053831394625629e-08,2.187509130318393e-05
sched_setattr,29,5,6.871588916604772e-08,1.0134578486564072e-07,-3.2629895699593004e-08
open,9008190,20,0.02134502709057584,4.053831394625629e-07,0.021344621707436378
dup,59002,48474,0.00013980603077845335,0.0009825271151154137,-0.0008427210843369603
listen,511146,1247,0.001211167306333401,2.5275638745490796e-05,0.0011858916675879102
setuid,25,235,5.923783548797217e-08,4.763251888685114e-06,-4.704014053197142e-06
lsetxattr,15,12,3.55427012927833e-08,2.432298836775377e-07,-2.0768718238475442e-07
keyctl,42941,102329,0.00010174927574756052,0.00207412256390323,-0.0019723732881556694
add_key,1060,22260,2.5116842246900197e-06,0.0004511914342218325,-0.0004486797499971425
mq_open,114,177,2.701245298251531e-07,3.5876407842436815e-06,-3.3175162544185286e-06
mq_timedsend,13058,343,3.094110623207762e-05,6.952320841782954e-06,2.3988785390294664e-05
seccomp,141,0,3.3410139215216304e-07,0.0,3.3410139215216304e-07
exit,1,404339,2.369513419518887e-09,0.00819561066135766,-0.008195608291844242
fallocate,250369,1172,0.0005932527053315241,2.3755451972506187e-05,0.000569497253359018
epoll_wait,83,119673,1.966696138200676e-07,0.0024256708224451645,-0.0024254741528313443
sched_setscheduler,4,108,9.478053678075548e-09,2.1890689530978398e-06,-2.179590899419764e-06
fremovexattr,11,39,2.6064647614707753e-08,7.904971219519976e-07,-7.644324743372899e-07
gettid,4138,27054,9.805046529969153e-06,0.0005483617727510088,-0.0005385567262210397
sy_WARNING__proc_registration_bug_in_snd_info_card_register_POC21.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
accept,1545483,72852,0.0036620427081383074,0.0014766486238063316,0.0021853940843319757
ftruncate,785396,3444,0.0018610063616364555,6.980697661545333e-05,0.001791199385021002
mknod,442069,0,0.0010474884278532947,0.0,0.0010474884278532947
recvmmsg,5502,93958,1.3037062834192914e-05,0.0019044494508811743,-0.0018914123880469814
kexec_load,354,0,8.388077505096858e-07,0.0,8.388077505096858e-07
fanotify_init,226,643,5.355100328112684e-07,1.3033067933721398e-05,-1.2497557900910129e-05
fanotify_mark,226,972,5.355100328112684e-07,1.9701620577880557e-05,-1.916611054506929e-05
fsopen,1102,190,2.611203788309813e-06,3.851139824894347e-06,-1.239936036584534e-06
fsconfig,2187,497,5.182125848487805e-06,1.0073771015644687e-05,-4.891645167156882e-06
fsmount,6,198,1.421708051711332e-08,4.013293080679373e-06,-3.999076000162259e-06
fchdir,4090,32,9.691309885832246e-06,6.486130231401007e-07,9.042696862692145e-06
recvmsg,647136,42647,0.0015333974362537744,0.000864418737432996,0.0006689786988207783
sy_general_protection_fault_in_ath6kl_usb_alloc_urb_from_pipe_POC8.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
ppoll,559,26,1.3245580015110578e-06,5.269980813013318e-07,7.97559920209726e-07
sy_BUG__corrupted_list_in_rxrpc_local_processor_POC2.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
pselect6,1,9356,2.369513419518887e-09,0.00018963823264058692,-0.0001896358631271674
accept4,149187,12,0.00035350059851776413,2.432298836775377e-07,0.0003532573686340866
sy_WARNING_in_r871xu_dev_remove_POC34.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
getsockname,218787,85777,0.0005184187325162786,0.001738627477684013,-0.0012202087451677343
sy_KASAN__use_after_free_Read_in_tipc_nl_publ_dump.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_BUG__MAX_LOCKDEP_CHAIN_HLOCKS_too_low__POC18.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
pipe,265,2989,6.279210561725049e-07,6.058451019268002e-05,-5.9956589136507516e-05
kill,19167,244596,4.54164637119185e-05,0.004957754718999252,-0.004912338255287333
pwrite64,1205958,419985,0.0028575336643761576,0.008512741891359223,-0.005655208226983066
dup3,56965,34,0.0001349793319428934,6.891513370863569e-07,0.00013429018060580702
io_uring_register,939,2,2.2249731009282347e-06,4.053831394625629e-08,2.1844347869819784e-06
shmget,1,35929,2.369513419518887e-09,0.0007282505408875211,-0.0007282481713741016
vmsplice,15230,10,3.608768937927264e-05,2.0269156973128145e-07,3.588499780954136e-05
splice,42,2064,9.951956361979325e-08,4.1835539992536493e-05,-4.17360204289167e-05
pidfd_open,1044,10036,2.4737720099777178e-06,0.00020342125938231406,-0.00020094748737233635
sy_kernel_BUG_at_include_linux_skbuff_h_LINE___2__POC8.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
iopl,1,18,2.369513419518887e-09,3.648448255163066e-07,-3.6247531209678774e-07
acct,1187,16,2.8126124289689186e-06,3.2430651157005033e-07,2.4883059173988684e-06
tkill,14574,150003,3.453328857606826e-05,0.003040434353440141,-0.003005901064864073
rt_sigprocmask,188963,1341490,0.00044775036429254737,0.027190871387881677,-0.02674312102358913
tgkill,47864,43232,0.000113414390311852,0.0008762761942622759,-0.0007628618039504239
io_uring_enter,4762,2,1.1283622903748939e-05,4.053831394625629e-08,1.1243084589802682e-05
stat,317583,9550,0.0007525171803110666,0.0001935704490933738,0.0005589467312176928
fchown,2,2125,4.739026839037774e-09,4.307195856789731e-05,-4.306721954105827e-05
madvise,21172,803855,5.016733811805387e-05,0.016293463178633925,-0.01624329584051587
inotify_init1,252536,440,0.0005983874409116216,8.918429068176384e-06,0.0005894690118434452
fstat,1546973,227,0.0036655732831333905,4.6010986329000885e-06,0.0036609721845004906
setrlimit,158428,0,0.00037539727202753816,0.0,0.00037539727202753816
nanosleep,53593459,0,0.12699042029893526,0.0,0.12699042029893526
shmctl,1,20185,2.369513419518887e-09,0.0004091329335025916,-0.0004091305639891721
geteuid,125970,5076,0.00029848760545679413,0.00010288624079559846,0.00019560136466119566
getppid,62985,81021,0.00014924380272839707,0.0016422273671198155,-0.0014929835643914184
getcwd,63060,54558,0.000149421516234861,0.0011058446661399253,-0.0009564231499050642
getegid,74174,3257,0.0001757562883793939,6.601664426147837e-05,0.00010973964411791554
rt_sigreturn,62975,275550,0.0001492201075942019,0.00558516620394546,-0.005435946096351258
sy_general_protection_fault_in_perf_trace_block_get_rq_POC1.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC21.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC89.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC90.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC95.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC96.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC98.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC1.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC17.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC21.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC3.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC104.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
setxattr,4,16711,9.478053678075548e-09,0.00033871788217794445,-0.0003387084041242664
signalfd4,5,6,1.1847567097594434e-08,1.2161494183876886e-07,-1.0976737474117444e-07
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC31.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC62.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC64.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC65.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC67.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC7.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC70.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC73.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC74.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC75.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC76.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC39.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC4.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC40.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC41.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC42.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC43.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC44.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC45.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC47.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC5.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC50.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC51.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC52.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC53.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC55.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC79.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC8.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC80.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC81.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC59.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
utimes,266435,0,0.0006313213079295146,0.0,0.0006313213079295146
sy_WARNING_in_kmalloc_slab_POC24.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC27.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC28.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC30.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC33.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC35.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC37.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC52.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC58.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC74.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC75.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC12.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_KASAN__double_free_or_invalid_free_in_selinux_tun_dev_free_security_POC12.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_KASAN__double_free_or_invalid_free_in_selinux_tun_dev_free_security_POC13.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_possible_deadlock_in_generic_file_write_iter_POC4.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_possible_deadlock_in_generic_file_write_iter_POC5.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC77.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC79.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC8.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC83.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC85.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in___switch_to_POC10.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in___switch_to_POC11.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in___switch_to_POC6.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC14.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC23.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC25.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
pipe2,190751,31909,0.00045198705428664717,0.000646768529855546,-0.0001947814755688988
finit_module,552,4,1.3079714075744255e-06,8.107662789251258e-08,1.2268947796819128e-06
msgget,285329,32391,0.0006760908944779045,0.0006565382635165938,1.9552630961310697e-05
sy_WARNING__kernel_stack_regs_has_bad__bp__value_POC91.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_BUG__sleeping_function_called_from_invalid_context_at_net_core_sock_c_LINE_POC1.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_BUG__sleeping_function_called_from_invalid_context_at_net_core_sock_c_LINE_POC2.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_BUG__sleeping_function_called_from_invalid_context_at_net_core_sock_c_LINE_POC3.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_BUG__workqueue_lockup_POC16.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_BUG__workqueue_lockup_POC17.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_BUG__workqueue_lockup_POC19.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_BUG__workqueue_lockup_POC20.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
request_key,14,110263,3.317318787326441e-08,0.0022349380553280287,-0.0022349048821401554
sy_general_protection_fault_in_crypto_chacha20_crypt_POC3.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_KASAN__use_after_free_Read_in_disk_unblock_events_POC13.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_KASAN__use_after_free_Read_in_disk_unblock_events_POC15.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC48.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC7.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_kmalloc_slab_POC72.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_tracepoint_probe_register_prio_POC2.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_BUG__unable_to_handle_kernel_paging_request_in_cgroup_mt_destroy_v1_POC2.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_ip6t_do_table_POC4.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
setpriority,1,138,2.369513419518887e-09,2.797143662291684e-06,-2.794774148872165e-06
getpeername,109292,140,0.00025896886064605816,2.8376819762379402e-06,0.0002561311786698202
renameat,1,17,2.369513419518887e-09,3.4457566854317845e-07,-3.422061551236596e-07
sy_general_protection_fault_in_native_write_cr4_POC61.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_native_write_cr4_POC75.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
uname,2,4268,4.739026839037774e-09,8.650876196131092e-05,-8.650402293447188e-05
setreuid,2,81,4.739026839037774e-09,1.6418017148233797e-06,-1.6370626879843419e-06
sy_WARNING_in_kmalloc_slab__2__POC3.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING_in_tracepoint_probe_unregister_POC1.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_WARNING__kernel_stack_regs_has_bad__bp__value__2__POC48.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_BUG__unable_to_handle_kernel_paging_request_in_cgroup_mt_destroy_v1_POC1.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_crypto_chacha20_crypt_POC1.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_crypto_chacha20_crypt_POC12.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_crypto_chacha20_crypt_POC2.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_ip6t_do_table_POC13.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
lstat,849717,48,0.00201341583429333,9.72919534710151e-07,0.0020124429147586197
epoll_create,160,182,3.791221471230219e-07,3.6889865691093224e-06,-3.3098644219863003e-06
sy_general_protection_fault_in_pppol2tp_connect_POC116.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_pppol2tp_connect_POC183.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_pppol2tp_connect_POC184.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_pppol2tp_connect_POC203.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_pppol2tp_connect_POC211.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_pppol2tp_connect_POC74.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_pppol2tp_connect_POC78.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_pppol2tp_connect_POC87.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_scatterwalk_copychunks__2__POC8.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
timer_create,3,445,7.10854025855666e-09,9.019774853042024e-06,-9.012666312783468e-06
sy_general_protection_fault_in_strlen_POC5.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_strlen_POC7.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in___netlink_ns_capable_POC4.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in___netlink_ns_capable_POC7.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in___netlink_ns_capable_POC8.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_inconsistent_lock_state_in_est_fetch_counters_POC1.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_inconsistent_lock_state_in_est_fetch_counters_POC11.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_inconsistent_lock_state_in_est_fetch_counters_POC13.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_inconsistent_lock_state_in_est_fetch_counters_POC14.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_inconsistent_lock_state_in_est_fetch_counters_POC15.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_pppol2tp_connect_POC81.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
sy_general_protection_fault_in_scatterwalk_copychunks__2__POC1.log,1,0,2.369513419518887e-09,0.0,2.369513419518887e-09
