class,len
Attack,21117
Attack,597
Attack,14129
Attack,596
Attack,600
Attack,596
Attack,596
Attack,17029
Attack,593
Attack,593
Attack,593
Attack,15550
Attack,14841
Attack,627
Attack,16014
Attack,568
Attack,593
Attack,593
Attack,593
Attack,620
Attack,593
Attack,16563
Attack,599
Attack,593
Attack,591
Attack,597
Attack,597
Attack,593
Attack,569
Attack,572
Attack,21144
Attack,17845
Attack,600
Attack,9491
Attack,620
Attack,13212
Attack,35452
Attack,14301
Attack,8301
Attack,31
Attack,9469
Attack,8024
Attack,8446
Attack,16519
Attack,9280
Attack,7912
Attack,9160
Attack,4981
Attack,7693
Attack,8878
Attack,5105
Attack,8698
Attack,19748
Attack,9659
Attack,9850
Attack,10411
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,33
Attack,33
Attack,1544
Attack,1545
Attack,3866
Attack,31
Attack,31
Attack,33
Attack,33
Attack,33
Attack,33
Attack,35
Attack,6140
Attack,17996
Attack,10188
Attack,10831
Attack,5388
Attack,102
Attack,47842
Attack,33693
Attack,19153
Attack,42444
Attack,17390
Attack,7175
Attack,1571
Attack,633
Attack,45332
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,38
Attack,31
Attack,38
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,38
Attack,38
Attack,38
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,38
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,38
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,24976
Attack,28965
Attack,628
Attack,25811
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,35
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,34
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,33
Attack,36
Attack,103
Attack,9524
Attack,104
Attack,104
Attack,104
Attack,104
Attack,104
Attack,104
Attack,33360
Attack,444
Attack,32861
Attack,645
Attack,31
Attack,600
Attack,14496
Attack,3015
Attack,12647
Attack,19276
Attack,19974
Attack,14872
Attack,1001
Attack,1758
Attack,2036
Attack,1474
Attack,2382
Attack,1955
Attack,2113
Attack,31
Attack,94
Attack,94
Attack,94
Attack,94
Attack,94
Attack,32
Attack,32
Attack,32
Attack,32
Attack,31
Attack,14415
Attack,30442
Attack,42031
Attack,33239
Attack,31
Attack,1727
Attack,12766
Attack,10932
Attack,1845
Attack,1955
Attack,1573
Attack,31
Attack,12049
Attack,11442
Attack,12261
Attack,11835
Attack,7479
Attack,31
Attack,30917
Attack,10992
Attack,31
Attack,3851
Attack,8159
Attack,800
Attack,7146
Attack,1079
Attack,16199
Attack,34965
Attack,736
Attack,15229
Attack,725
Attack,912
Attack,135
Attack,734
Attack,102
Attack,25797
Attack,31
Attack,38
Attack,38
Attack,31
Attack,38
Attack,31
Attack,31
Attack,38
Attack,38
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,38
Attack,38
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,592055
Attack,962
Attack,31
Attack,31
Attack,136
Attack,16061
Attack,13298
Attack,102
Attack,2780
Attack,19532
Attack,31
Attack,32
Attack,14442
Attack,12992
Attack,11670
Attack,3012
Attack,21438
Attack,2685
Attack,22476
Attack,2101
Attack,18114
Attack,12876
Attack,12045
Attack,8671
Attack,11613
Attack,11671
Attack,12377
Attack,32
Attack,9230
Attack,32
Attack,46865
Attack,36
Attack,4467
Attack,35
Attack,15626
Attack,15903
Attack,32
Attack,12723
Attack,7131
Attack,7507
Attack,37114
Attack,16219
Attack,10657
Attack,39318
Attack,35
Attack,15319
Attack,7450
Attack,20513
Attack,11542
Attack,17730
Attack,17775
Attack,19350
Attack,3201
Attack,2970
Attack,17565
Attack,16870
Attack,2828
Attack,20767
Attack,2957
Attack,21956
Attack,18436
Attack,17793
Attack,15927
Attack,15581
Attack,16498
Attack,33
Attack,33
Attack,32
Attack,30288
Attack,12490
Attack,12175
Attack,11733
Attack,11351
Attack,12293
Attack,8411
Attack,36
Attack,11421
Attack,32
Attack,10878
Attack,865
Attack,35
Attack,38320
Attack,45791
Attack,46424
Attack,71
Attack,38106
Attack,36
Attack,5575
Attack,35
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,35
Attack,587
Attack,12866
Attack,18078
Attack,38526
Attack,15980
Attack,14543
Attack,15898
Attack,33
Attack,12231
Attack,13916
Attack,25390
Attack,35
Attack,31
Attack,135
Attack,13204
Attack,31602
Attack,17438
Attack,16727
Attack,567
Attack,920
Attack,35
Attack,32
Attack,745
Attack,39
Attack,35
Attack,1025
Attack,34859
Attack,47283
Attack,37797
Attack,30370
Attack,1148
Attack,675
Attack,878
Attack,44132
Attack,2524
Attack,30560
Attack,8148
Attack,6424
Attack,3503
Attack,13302
Attack,14049
Attack,31
Attack,2110
Attack,1927
Attack,2453
Attack,2205
Attack,1867
Attack,2234
Attack,2328
Attack,1908
Attack,1772
Attack,33
Attack,32
Attack,32
Attack,36
Attack,37
Attack,75
Attack,17561
Attack,3111
Attack,18331
Attack,16294
Attack,1473
Attack,2390315
Attack,1552
Attack,1481
Attack,1654
Attack,1162
Attack,1555
Attack,1282
Attack,1791
Attack,2774
Attack,18056
Attack,16956
Attack,16384
Attack,18206
Attack,17264
Attack,18274
Attack,16287
Attack,21083
Attack,2655
Attack,24196
Attack,2869
Attack,2748
Attack,32
Attack,16368
Attack,33
Attack,33
Attack,32
Attack,1093
Attack,35
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,10284
Attack,913
Attack,723
Attack,752
Attack,794
Attack,22200
Attack,12251
Attack,11617
Attack,12114
Attack,32
Attack,36
Attack,36
Attack,36
Attack,36
Attack,36
Attack,511
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,652
Attack,1098
Attack,32
Attack,567
Attack,567
Attack,567
Attack,1640
Attack,614
Attack,35
Attack,589
Attack,587
Attack,589
Attack,591
Attack,587
Attack,589
Attack,587
Attack,589
Attack,587
Attack,587
Attack,587
Attack,330
Attack,35
Attack,2905
Attack,2941
Attack,2939
Attack,2981
Attack,31
Attack,31
Attack,31
Attack,1583
Attack,614
Attack,614
Attack,31
Attack,31
Attack,139
Attack,12858
Attack,12811
Attack,12577
Attack,31
Attack,31
Attack,17757
Attack,9861
Attack,506
Attack,32
Attack,705
Attack,31
Attack,621
Attack,38944
Attack,11705
Attack,11522
Attack,11969
Attack,635
Attack,17062
Attack,17539
Attack,36
Attack,36
Attack,11422
Attack,25177
Attack,39652
Attack,36
Attack,36
Attack,11528
Attack,4414
Attack,35
Attack,16322
Attack,587
Attack,37069
Attack,1045
Attack,1037
Attack,749
Attack,2509
Attack,2791
Attack,33
Attack,33
Attack,33
Attack,33
Attack,554
Attack,554
Attack,554
Attack,554
Attack,554
Attack,554
Attack,554
Attack,554
Attack,581
Attack,554
Attack,554
Attack,554
Attack,554
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,43500
Attack,17762
Attack,17388
Attack,9508
Attack,21664
Attack,44381
Attack,17021
Attack,16754
Attack,30687
Attack,27032
Attack,17138
Attack,16780
Attack,17551
Attack,16781
Attack,16878
Attack,16015
Attack,14353
Attack,31
Attack,2839
Attack,2835
Attack,31
Attack,3560
Attack,16518
Attack,11991
Attack,10517
Attack,77
Attack,68
Attack,560
Attack,36
Attack,31
Attack,31
Attack,13732
Attack,4193
Attack,39
Attack,42045
Attack,13712
Attack,31
Attack,28759
Attack,467
Attack,11882
Attack,12013
Attack,12053
Attack,34
Attack,3263
Attack,17209
Attack,18362
Attack,9122
Attack,11175
Attack,16215
Attack,13098
Attack,10672
Attack,34
Attack,567
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,6357
Attack,13870
Attack,8961
Attack,8577
Attack,31
Attack,31
Attack,11009
Attack,33913
Attack,10257
Attack,32
Attack,35
Attack,68
Attack,31
Attack,31
Attack,11970
Attack,11877
Attack,16714
Attack,16250
Attack,31
Attack,33
Attack,35
Attack,3763
Attack,32
Attack,32
Attack,32
Attack,31
Attack,31
Attack,7895
Attack,8860
Attack,13155
Attack,20147
Attack,13276
Attack,5414
Attack,19397
Attack,33439
Attack,16510
Attack,14667
Attack,40
Attack,40
Attack,31
Attack,5301
Attack,13278
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,13045
Attack,6231
Attack,33
Attack,33
Attack,32
Attack,32
Attack,29679
Attack,14783
Attack,11407
Attack,9086
Attack,9607
Attack,9967
Attack,35040
Attack,111
Attack,671
Attack,1243
Attack,567
Attack,1153
Attack,621
Attack,73
Attack,32
Attack,32
Attack,343
Attack,343
Attack,38
Attack,722
Attack,766
Attack,872
Attack,32
Attack,32
Attack,39912
Attack,30243
Attack,39
Attack,31
Attack,32
Attack,32
Attack,31
Attack,37
Attack,32
Attack,559
Attack,583
Attack,92
Attack,115
Attack,115
Attack,16046
Attack,24055
Attack,40193
Attack,42
Attack,40
Attack,31
Attack,13142
Attack,32
Attack,32
Attack,31
Attack,2791
Attack,11541
Attack,9916
Attack,115
Attack,115
Attack,31
Attack,29830
Attack,8416
Attack,8913
Attack,7469
Attack,34597
Attack,33932
Attack,554
Attack,29102
Attack,31
Attack,22146
Attack,994
Attack,777
Attack,685
Attack,555
Attack,556
Attack,14900
Attack,33
Attack,33
Attack,35
Attack,98
Attack,32
Attack,98
Attack,662
Attack,42684
Attack,2717
Attack,30590
Attack,31297
Attack,39
Attack,39
Attack,39
Attack,39
Attack,39
Attack,39
Attack,39
Attack,39
Attack,39
Attack,39
Attack,39
Attack,39
Attack,33
Attack,31
Attack,583
Attack,5928
Attack,19950
Attack,40748
Attack,38
Attack,38
Attack,31
Attack,31
Attack,38
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,38
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,38
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,31
Attack,38
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,8540
Attack,6733
Attack,554
Attack,32
Attack,17037
Attack,118541
Attack,31742
Attack,31
Attack,33
Attack,32
Attack,7542
Attack,23537
Attack,25721
Attack,10119
Attack,31
Attack,10660
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,12340
Attack,2495
Attack,1641
Attack,8693
Attack,1556
Attack,1407
Attack,923
Attack,5282
Attack,3847
Attack,4516
Attack,31
Attack,32
Attack,32
Attack,32
Attack,102
Attack,102
Attack,102
Attack,102
Attack,102
Attack,102
Attack,18093
Attack,10313
Attack,11310
Attack,31
Attack,31
Attack,31
Attack,31
Attack,628
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,150
Attack,31
Attack,628
Attack,31
Attack,24584
Attack,16749
Attack,16307
Attack,33631
Attack,11513
Attack,7224
Attack,206
Attack,19659
Attack,16295
Attack,11197
Attack,5420
Attack,31
Attack,33
Attack,7638
Attack,8746
Attack,9434
Attack,31
Attack,31
Attack,41
Attack,17595
Attack,32
Attack,32
Attack,32
Attack,32
Attack,73
Attack,32
Attack,6848
Attack,68
Attack,560
Attack,59268103
Attack,32
Attack,29134
Attack,5465
Attack,20956
Attack,2885
Attack,8652
Attack,17340
Attack,16036
Attack,15490
Attack,36560
Attack,21862
Attack,38262
Attack,12787
Attack,11183
Attack,34
Attack,567
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,32
Attack,16931
Attack,31
Attack,32
Attack,7757
Attack,8095
Attack,30265
Attack,23733
Attack,31
Attack,31
Attack,33
Attack,33
Attack,33
Attack,34
Attack,1513
Attack,569
Attack,38
Attack,38
Attack,562
Attack,38
Attack,38
Attack,38
Attack,13136
Attack,27057
Attack,12539
Attack,12754
Attack,13377
Attack,33
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,13941
Attack,32
Attack,32
Attack,44
Attack,1922
Attack,1885
Attack,1951
Attack,1865
Attack,11171
Attack,25747
Attack,24573
Attack,15766
Attack,4101
Attack,9397
Attack,10687
Attack,9341
Attack,5600
Attack,5216
Attack,3412
Attack,4685
Attack,4552
Attack,5806
Attack,5656
Attack,6983
Attack,4836
Attack,5178
Attack,5289
Attack,4409
Attack,5210
Attack,5467
Attack,17184
Attack,18297
Attack,34637
Attack,14106
Attack,7013
Attack,4979
Attack,561
Attack,36
Attack,24686
Attack,25435
Attack,25315
Attack,21383
Attack,18860
Attack,18122
Attack,15567
Attack,21700
Attack,28617
Attack,18947
Attack,11476
Attack,556
Attack,614
Attack,614
Attack,136
Attack,583
Attack,583
Attack,24531
Attack,5077
Attack,31
Attack,31
Attack,174
Attack,98
Attack,31
Attack,31
Attack,31
Attack,31
Attack,570
Attack,570
Attack,31
Attack,2778
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,13145
Attack,13373
Attack,13742
Attack,1513758
Attack,13388
Attack,27130
Attack,31
Attack,554
Attack,553
Attack,554
Attack,554
Attack,25602
Attack,31
Attack,5540
Attack,22793
Attack,28674
Attack,16252
Attack,32217
Attack,5433
Attack,33
Attack,32
Attack,7533
Attack,10541
Attack,31
Attack,11480
Attack,31
Attack,13827
Attack,1479
Attack,20242
Attack,950
Attack,20674
Attack,9752
Attack,18484
Attack,31
Attack,31
Attack,3246545
Attack,14302
Attack,8142
Attack,7637
Attack,32036
Attack,31
Attack,31
Attack,11030
Attack,561
Attack,36
Attack,109
Attack,114
Attack,110
Attack,110
Attack,110
Attack,587
Attack,111
Attack,107
Attack,121
Attack,13791
Attack,31
Attack,31
Attack,31
Attack,1554
Attack,31
Attack,31
Attack,27494
Attack,37
Attack,14475
Attack,623
Attack,14472
Attack,5082
Attack,561
Attack,36
Attack,22260
Attack,13708
Attack,31
Attack,570
Attack,31
Attack,10793
Attack,12258
Attack,10254
Attack,13600
Attack,11420
Attack,596
Attack,627
Attack,594
Attack,620
Attack,624
Attack,624
Attack,593
Attack,593
Attack,607
Attack,15327
Attack,10507
Attack,13122
Attack,570
Attack,570
Attack,31
Attack,31
Attack,31
Attack,31
Attack,41263
Attack,593
Attack,599
Attack,620
Attack,593
Attack,593
Attack,593
Attack,620
Attack,593
Attack,593
Attack,588
Attack,593
Attack,565
Attack,620
Attack,595
Attack,596
Attack,597
Attack,593
Attack,594
Attack,15685
Attack,631
Attack,601
Attack,593
Attack,18878
Attack,624
Attack,596
Attack,593
Attack,565
Attack,595
Attack,599
Attack,596
Attack,589
Attack,617
Attack,593
Attack,630
Attack,593
Attack,593
Attack,592
Attack,599
Attack,593
Attack,596
Attack,596
Attack,617
Attack,558
Attack,599
Attack,569
Attack,17604
Attack,627
Attack,595
Attack,593
Attack,596
Attack,593
Attack,593
Attack,596
Attack,599
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,38
Attack,31
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,67
Attack,11361
Attack,12778
Attack,37000
Attack,601
Attack,592
Attack,20332
Attack,600
Attack,627
Attack,36405
Attack,31
Attack,1500
Attack,17285
Attack,10279
Attack,9388
Attack,8334
Attack,8946
Attack,7668
Attack,8277
Attack,9724
Attack,102
Attack,102
Attack,34808
Attack,33538
Attack,26614
Attack,15481
Attack,53573
Attack,17162
Attack,25459
Attack,1689
Attack,21328
Attack,31
Attack,38
Attack,38
Attack,31
Attack,38
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,31
Attack,5484909
Attack,41261
Attack,31933
Attack,31
Attack,32
Attack,13625
Attack,4677
Attack,31
Attack,2054
Attack,1749
Attack,1687
Attack,1382
Attack,1246
Attack,1304
Attack,31888
